,0,1,2,3
154,155,2681,60404213,55250
155,156,2682,60404313,55250
156,157,2683,60404413,55250
157,158,2684,60404513,55250
158,159,2685,2980313,384
159,160,2686,2980313,384
160,161,2687,2981413,384
161,162,2688,2981413,384
162,163,2689,2982713,874
163,164,2690,2982713,874
164,165,2691,3978013,884
165,166,2692,3978013,884
166,167,2693,3978313,884
167,168,2694,3978313,884
168,169,2695,53540313,55640
169,170,2696,53540413,55640
170,171,2697,53540513,55640
171,172,2698,53540613,55640
172,173,2699,53540713,55640
173,174,2700,53540813,55640
174,175,2701,53540913,55640
175,176,2702,53541013,55640
176,177,2703,53541113,55640
177,178,2704,53541213,55640
178,179,2705,53541313,55640
179,180,2706,53541413,55640
180,181,2714,53429113,55238
181,182,2715,53429213,55238
182,183,2716,53429313,55936
183,184,2759,3008913,6085
184,185,2760,3008913,6085
185,186,2761,3008913,6085
186,187,2762,3009313,6085
187,188,2763,3009313,6085
188,189,2764,3009313,6085
189,190,2765,3009713,6085
190,191,2766,3009713,6085
191,192,2767,3009813,6085
192,193,2768,3009813,6085
193,194,2769,3009913,6085
194,195,2770,3009913,6085
195,196,2771,3009913,6085
196,197,2772,3010013,6085
197,198,2773,3010013,6085
198,199,2774,3010013,6085
199,200,2799,32566313,10397
200,201,2800,32566313,10397
201,202,2801,32566813,10397
202,203,2802,32566813,10397
203,204,2803,32566913,10397
204,205,2804,32566913,10397
205,206,2805,32560413,55259
206,207,2806,32560413,55259
207,208,2807,32560513,55259
208,209,2808,32560513,55259
209,210,2809,4010013,997
210,211,2810,4010013,997
211,212,2868,28437313,1037
212,213,2869,28437313,1037
213,214,2893,28341313,55096
214,215,2894,28341413,55096
215,216,2895,28341513,55096
216,217,2896,10538413,995
217,218,2897,10538413,995
218,219,2898,10538513,995
219,220,2899,10538513,995
220,221,2900,10538613,995
221,222,2901,10538613,995
222,223,2917,30461713,50240
223,224,2918,30461713,50240
224,225,2919,30461813,50240
225,226,2920,30461813,50240
226,227,2921,30462313,50240
227,228,2922,30462313,50240
228,229,2964,5862413,1006
229,230,2965,5862513,1006
230,231,2966,5862713,1006
231,232,2967,5862813,1006
232,233,2968,5862913,1006
233,234,2969,5863013,1006
234,235,2990,27512613,55229
235,236,2991,27512613,55229
236,237,2992,27512713,55229
237,238,2993,27512713,55229
238,239,2994,27512813,55229
239,240,2995,27512813,55229
240,241,2996,27512913,55229
241,242,2997,27512913,55229
242,243,2998,27513013,55229
243,244,2999,27513013,55229
244,245,3000,27513113,55229
245,246,3001,27513113,55229
246,247,3002,27513213,55229
247,248,3003,27513213,55229
248,249,3004,27513313,55229
249,250,3005,27513313,55229
250,251,4126,20405713,1880
251,252,4127,20405913,1880
252,253,4128,7292913,7258
253,254,4129,7293113,7258
254,255,4130,7293113,7258
255,256,4131,7293213,7258
256,257,4132,7293213,7258
257,258,4158,18094413,1844
258,259,4159,18094413,1844
259,260,4231,19998413,55101
260,261,4234,35916713,50860
261,262,4235,35916713,50860
262,263,4236,35916813,50860
263,264,4237,35916813,50860
264,265,4238,35916313,10819
265,266,4239,35916413,10819
266,267,4310,25695713,1881
267,268,4311,25695813,1881
268,269,4312,25695913,1881
269,270,4313,25695913,1881
270,271,4314,2844313,55402
271,272,4315,2844313,55402
272,273,4316,2844313,55402
273,274,4317,2844313,55402
274,275,4321,82890713,1695
275,276,4322,82890813,1695
276,277,4323,82890813,1695
277,278,4324,82890813,1695
278,279,4345,16370813,1825
279,280,4346,16370813,1825
280,281,4347,16365413,1867
